VID,FrameID,Color,Texture,Edge
1,0,-9.00661,3.208,14.72613932
1,0,-5.06774,3.188,14.49316406
1,0,-4.20532,3.15,13.18219401
1,0,-3.82819,3.17,13.06764323
1,0,-4.83865,3.154,12.68525391
1,0,-5.16762,3.161,13.64039714
1,0,-8.19899,3.208,14.8484375
1,0,-8.64583,3.23,15.27897135
1,0,-10.74573,3.295,17.48919271
1,0,-12.50314,3.294,18.3851237
1,0,-11.69782,3.284,18.11341146
1,0,-10.14008,3.298,18.49248047
1,0,-11.0981,3.321,18.80126953
1,0,-11.62169,3.326,19.50296224
1,0,-12.92524,3.321,18.99329427
1,0,-13.50092,3.322,19.0148763
1,0,-13.72721,3.315,18.87597656
1,0,-15.14365,3.297,19.7055013
1,0,-15.92562,3.282,19.5953776
1,0,-17.43437,3.277,20.3164388
1,0,-17.56011,3.285,20.46917318
1,0,-17.53241,3.3,20.76966146
1,0,-18.29397,3.284,21.2007487
1,0,-17.84676,3.296,22.06513672
1,0,-18.42153,3.291,21.79785156
1,0,-18.53097,3.286,21.85374349
1,0,-18.5982,3.286,22.11494141
1,0,-18.91643,3.287,21.76077474
1,0,-18.22654,3.296,22.12766927
1,0,-18.93624,3.291,22.65615234
1,0,-19.09183,3.295,22.2898112
1,0,-18.93958,3.292,22.50507813
1,0,-19.16766,3.283,22.23502604
1,0,-18.84162,3.286,22.0203125
1,0,-19.32162,3.279,22.04964193
1,0,-19.37414,3.28,22.14759115
1,0,-18.88358,3.283,22.04853516
1,0,-19.46962,3.282,21.8305013
1,0,-18.97309,3.28,21.78346354
1,0,-19.38671,3.278,21.81389974
1,0,-19.43112,3.275,21.68772786
1,0,-19.04639,3.276,21.68219401
1,0,-19.41959,3.272,21.43759766
1,0,-19.25341,3.273,21.60914714
1,0,-19.69788,3.272,21.44257813
1,0,-19.84201,3.268,21.39388021
1,0,-19.61229,3.275,21.37119141
1,0,-20.02459,3.276,21.65563151
1,0,-19.71395,3.276,21.64013672
1,0,-19.78035,3.28,21.74527995
1,0,-19.71214,3.281,21.84654948
1,0,-20.02724,3.279,21.31197917
1,0,-19.79688,3.28,21.76741536
1,0,-19.94833,3.288,21.76907552
1,0,-19.7225,3.289,21.86425781
1,0,-19.81281,3.29,21.76077474
1,0,-20.06933,3.295,21.64235026
1,0,-19.69754,3.294,21.80615234
1,0,-19.79764,3.298,21.66171875
1,0,-19.2552,3.3,21.63847656
1,0,-19.31064,3.302,21.67057292
1,0,-19.50375,3.302,21.74527995
1,0,-19.5381,3.301,21.38502604
1,0,-19.32953,3.297,21.70709635
1,0,-19.33658,3.3,21.48795573
1,0,-19.26779,3.301,21.66669922
1,0,-18.98883,3.295,21.58258464
1,0,-19.28511,3.296,21.53388672
1,0,-18.98026,3.296,21.51839193
1,0,-19.2732,3.294,21.66946615
1,0,-19.29161,3.289,21.48020833
1,0,-18.91572,3.291,21.28763021
1,0,-19.06731,3.296,21.6788737
1,0,-18.74645,3.29,21.59586589
1,0,-18.81867,3.287,21.20406901
